,AUCKLAND,1347,,,AUCKLAND 2022,,,,
,,,,,,,,,
Code,Cin,Unit,Description,,Chinese,,Disc,Total,
,,,,,,,,,
,0027,,,Sesame OF HISLE,,,,,
,,,,,,,,,
,,,,Jiruhong Sesame Cl (4xdag),,,120,10%,108
,,,,,,,,,
,COPORT,,,Dried Garlic Flakes [2x12.5kg],,,133,,133
,,,,,,,,,
,H5003,,,"Lee Kum Kee Hoisin Sauce [0x200g] × 3
:selected:",,,,,
,,,,,,,,,
CO2,,,,No.1 Superior Dark Soy Sauce [2x15kg),,,,37.5,
,,,,,,,,,
,CSONT,,,No.1 Superior Light Soy Sauce [x15hell,,,,,
,,,,,,,,,
,MALW C,,,"PSP Waler Chestnut Slice jockgl X 10
:selected:",PSP #:454HH,45,VAO,,
,,,,,,,,,
,MALWC,,,PSP Water Chestnut Whole (24x567;),,,,35,
,,,,,,,,,
$15 ,,,,Dragon & Phoenix Fried Shallot [12x500g],,51.8,,,
,,,,,,,,,
,DP199,,,Dragon & Phoenix Fried Chopped Gartic (L) [12×500g],,,,14,
,,,,,,,,,
,,,,W.A. Fried Onion (White) [12x1kg),,69.6,,,
,,,,,,,,,
YT2-03,COP269,,,Eaglobe Sichuan Wild Pepper [1De1kg],,190,,190,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
z,CF2003 CF200E,,,"No.1 Frouen Unpeeled Soy Bean |20x500g] No. 1 Frozen Soy Bean Nuts [20x500g] 15
:selected:",,,,,
